--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
059.010  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
059.633  000.055  000.055: require('crates.types')
059.637  000.124  000.069: require('crates.semver')
059.675  000.036  000.036: require('crates.state')
059.777  000.101  000.101: require('crates.toml')
059.785  000.366  000.105: require('crates.edit')
059.837  000.051  000.051: require('crates.util')
059.842  000.498  000.080: require('crates.actions')
059.877  000.034  000.034: require('crates.async')
060.074  000.034  000.034: require('crates.time')
060.096  000.139  000.105: require('crates.api')
060.283  000.186  000.186: require('crates.diagnostic')
060.423  000.138  000.138: require('crates.ui')
060.428  000.511  000.048: require('crates.core')
060.675  000.144  000.144: require('crates.popup.common')
060.777  000.100  000.100: require('crates.popup.crate')
060.900  000.120  000.120: require('crates.popup.dependencies')
061.011  000.110  000.110: require('crates.popup.features')
061.091  000.078  000.078: require('crates.popup.versions')
061.102  000.673  000.120: require('crates.popup')
061.118  001.240  000.055: require('crates.command')
061.970  000.851  000.851: require('crates.config')
062.069  000.097  000.097: require('crates.highlight')
062.075  003.061  000.342: require('crates')
062.770  000.005  000.005: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
062.795  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
062.816  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
062.825  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
063.063  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
063.074  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
063.453  000.264  000.264: require('blink')
063.530  000.075  000.075: require('blink.config')
063.611  000.069  000.069: require('blink.chartoggle')
063.667  000.054  000.054: require('blink.chartoggle.config')
064.453  000.085  000.085: require('nvim-treesitter.compat')
067.084  002.400  002.400: require('nvim-treesitter.parsers')
067.385  000.296  000.296: require('nvim-treesitter.utils')
067.401  002.825  000.129: require('nvim-treesitter.ts_utils')
067.415  002.959  000.134: require('nvim-treesitter.tsrange')
067.538  000.122  000.122: require('nvim-treesitter.caching')
067.570  003.331  000.165: require('nvim-treesitter.query')
